Id,Full Name,Birth date,Birth Place,Role,Batting Style,Bowling Style,Fielding Style
6328,John James Lyons,"May 21, 1863","Gawler, South Australia",NA,Right-hand bat,Right-arm medium,NA
5122,John Dunlop Edwards,"June 12, 1860","Prahran, Melbourne, Victoria",NA,Right-hand bat,Legbreak,NA
7974,George Henry Stevens Trott,"August 5, 1866","Collingwood, Melbourne, Victoria",NA,Right-hand bat,Legbreak,NA
22492,Samuel Moses James Woods,"April 13, 1867","Ashfield, Sydney, New South Wales, Australia",NA,Right-hand bat,Right-arm fast-medium,NA
4102,John Edward Barrett,"October 15, 1866","South Melbourne, Victoria",NA,Left-hand bat,Right-arm medium,NA
4245,Edwin James Kenneth Burn,"September 17, 1862","Richmond, Tasmania",NA,Right-hand bat,Right-arm medium,NA
4563,Percie Chater Charlton,"April 9, 1867","Surry Hills, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
5438,Sydney Edward Gregory,"April 14, 1870","Moore Park, Randwick, Sydney, New South Wales",NA,Right-hand bat,Right-arm bowler,NA
7977,Hugh Trumble,"May 12, 1867","Abbotsford, Melbourne, Victoria",NA,Right-hand bat,Right-arm offbreak,NA
4516,Sydney Thomas Callaway,"February 6, 1868","Redfern, Sydney, New South Wales, Australia",NA,Right-hand bat,Right-arm fast-medium,NA
4969,Henry Donnan,"November 12, 1864","Liverpool, New South Wales",NA,Right-hand bat,Right-arm medium,NA
6585,Robert William McLeod,"January 19, 1868","Sandridge (now Port Melbourne), Victoria",NA,Left-hand bat,Right-arm medium,NA
5422,Henry Graham,"November 22, 1870","Carlton, Melbourne, Victoria",NA,Right-hand bat,Legbreak,NA
4897,Joseph Darling,"November 21, 1870","Glen Osmond, Adelaide, South Australia",NA,Left-hand bat,DNB,NA
5976,Francis Adams Iredale,"June 19, 1867","Surry Hills, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
6046,Ernest Jones,"September 30, 1869","Auburn, South Australia",NA,Right-hand bat,Right-arm fast,NA
6584,Charles Edward McLeod,"October 24, 1869","Sandridge (now Port Melbourne), Victoria",NA,Right-hand bat,Right-arm medium,NA
7315,John Cole Reedman,"October 9, 1865","Gilberton, South Australia",Allrounder,Right-hand bat,Right-arm medium,NA
4611,Arthur Coningham,"July 14, 1863","Emerald Hill, South Melbourne, Victoria",NA,Left-hand bat,Left-arm fast-medium,NA
5588,John Harry,"August 1, 1857","Ballarat, Victoria",NA,Right-hand bat,Right-arm offbreak,Wicketkeeper
21593,Albert Edwin Trott,"February 6, 1873","Abbotsford, Melbourne, Victoria, Australia",NA,Right-hand bat,Right-arm slow,NA
6579,Thomas Robert McKibbin,"December 10, 1870","Raglan, Bathurst, New South Wales",NA,Left-hand bat,DNB,NA
5115,Charles John Eady,"October 29, 1870","Hobart, Tasmania",NA,Right-hand bat,Right-arm fast,NA
5662,Clement Hill,"March 18, 1877","Hindmarsh, Adelaide, South Australia",NA,Left-hand bat,Legbreak,NA
6136,James Joseph Kelly,"May 10, 1867","Sandridge (now Port Melbourne), Victoria",NA,Right-hand bat,DNB,Wicketkeeper
6936,Montague Alfred Noble,"January 28, 1873","Dixon Street, Chinatown, Sydney, New South Wales",Allrounder,Right-hand bat,DNB,NA
5716,William Peter Howell,"December 29, 1869","Penrith, New South Wales",NA,Left-hand bat,Right-arm medium,NA
6402,Frank Jonas Laver,"December 7, 1869","Castlemaine, Victoria",NA,Right-hand bat,Right-arm medium,NA
7980,Victor Thomas Trumper,"November 2, 1877","Darlinghurst, Sydney, New South Wales",NA,Right-hand bat,Right-arm medium,NA
3982,Warwick Windridge Armstrong,"May 22, 1879","Kyneton, Victoria",NA,Right-hand bat,DNB,NA
4985,Reginald Alexander Duff,"August 17, 1878","Botanic Gardens, Macquarie, Sydney, New South Wales",NA,Right-hand bat,Right-arm medium,NA
5703,Albert John Young Hopkins,"May 3, 1874","Young, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
7564,John Victor Saunders,"March 21, 1876","Melbourne, Victoria",NA,Left-hand bat,DNB,NA
7963,Joseph Patrick Francis Travers,"January 10, 1871","Adelaide, South Australia",NA,Left-hand bat,Slow left-arm orthodox,NA
4632,Albert Cotter,"December 3, 1883","Philip Street, Macquarie, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast,NA
6536,Peter Alexander McAlister,"July 11, 1869","Williamstown, Melbourne, Victoria",NA,Right-hand bat,DNB,NA
5375,Donald Raeburn Algernon Gehrs,"November 29, 1880","Port Victor, South Australia",NA,Right-hand bat,Legbreak,Wicketkeeper
4542,Hanson Carter,"March 15, 1878","Northowram, Halifax, Yorkshire, England",NA,Right-hand bat,DNB,Wicketkeeper
5622,Gervys Rignold Hazlitt,"September 4, 1888","Enfield, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
6434,Charles George Macartney,"June 27, 1886","West Maitland, New South Wales",NA,Right-hand bat,Slow left-arm orthodox,NA
7308,Vernon Seymour Ransford,"March 20, 1885","South Yarra, Melbourne, Victoria",NA,Left-hand bat,Slow left-arm orthodox,NA
5905,Michael Joseph Hartigan,"December 12, 1879","Chatswood, Sydney, New South Wales",NA,Right-hand bat,Right-arm bowler,NA
6992,NA,"September 9, 1875","Burrowa, Sydney, New South Wales",NA,Left-hand bat,Right-arm medium,NA
4095,Warren Bardsley,"December 6, 1882","Nevertire, Warren, New South Wales",NA,Left-hand bat,DNB,NA
8222,William James Whitty,"August 15, 1886","Elizabeth Street, Sydney, New South Wales",NA,Right-hand bat,Left-arm fast-medium,NA
6132,Charles Kelleway,"April 25, 1886","Lismore, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
5706,Herbert Vivian Hordern,"February 10, 1883","North Sydney, New South Wales",NA,Right-hand bat,Legbreak googly,NA
6622,Roy Baldwin Minnett,"June 13, 1888","St Leonards, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
6527,Thomas James Matthews,"April 3, 1884","Mount Gambier, South Australia",NA,Right-hand bat,Legbreak,NA
6581,John William McLaren,"December 22, 1886","Toowong, Brisbane, Queensland",NA,Right-hand bat,Right-arm fast,NA
4533,William Carkeek,"October 17, 1878","Walhalla, Victoria",NA,Left-hand bat,DNB,Wicketkeeper
5140,Sidney Hand Emery,"October 15, 1885","Macdonald Town, Sydney, New South Wales",NA,Right-hand bat,Legbreak googly,NA
6023,Claude Barrows Jennings,"June 5, 1884","East St Kilda, Melbourne, Victoria",NA,Right-hand bat,DNB,Wicketkeeper
7640,David Bertram Miller Smith,"September 14, 1884","Richmond, Melbourne, Victoria",NA,Right-hand bat,DNB,NA
6530,Edgar Richard Mayne,"July 2, 1882","Jamestown, South Australia",NA,Right-hand bat,Right-arm bowler,NA
4602,Herbert Leslie Collins,"January 21, 1888","Darlinghurst, Sydney, New South Wales",NA,Right-hand bat,Slow left-arm orthodox,NA
5435,Jack Morrison Gregory,"August 14, 1895","North Sydney, New South Wales",NA,Left-hand bat,Right-arm fast,NA
6465,Arthur Alfred Mailey,"January 3, 1886","Zetland, Sydney, New South Wales",NA,Right-hand bat,Legbreak googly,NA
7003,William Albert Stanley Oldfield,"September 9, 1894","Alexandria, Sydney, New South Wales",NA,Right-hand bat,DNB,Wicketkeeper
7099,Clarence Everard Pellew,"September 21, 1893","Port Pirie, South Australia",NA,Right-hand bat,Right-arm medium,NA
7416,John Ryder,"August 8, 1889","Collingwood, Melbourne, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
7921,John Morris Taylor,"October 10, 1895","Stanmore, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
7079,Roy Lindsay Park,"July 30, 1892","Charlton, New South Wales",NA,Right-hand bat,DNB,NA
6555,Edgar Arthur McDonald,"January 6, 1891","Launceston, Tasmania",NA,Right-hand bat,Right-arm fast,NA
3971,Thomas James Edwin Andrews,"August 26, 1890","Newtown, Sydney, New South Wales",NA,Right-hand bat,Legbreak googly,NA
5637,Hunter Scott Thomas Laurie Hendry,"May 24, 1895","Double Bay, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
7131,William Harold Ponsford,19-Oct-00,"North Fitzroy, Melbourne, Victoria",NA,Right-hand bat,Right-arm medium,NA
7334,Arthur John Richardson,"July 24, 1888","Sevenhill, Clare, South Australia",NA,Right-hand bat,DNB,NA
7346,Victor York Richardson,"September 7, 1894","Parkside, Adelaide, South Australia",NA,Right-hand bat,Right-arm medium,NA
5591,Albert Ernst Victor Hartkopf,"December 28, 1889","North Fitzroy, Melbourne, Victoria",NA,Right-hand bat,Legbreak,NA
5443,Clarence Victor Grimmett,"December 25, 1891","Caversham, Dunedin, Otago, New Zealand",NA,Right-hand bat,Legbreak googly,NA
6154,Alan Falconer Kippax,"May 25, 1897","Paddington, Sydney, New South Wales",NA,Right-hand bat,Legbreak,NA
8246,William Maldon Woodfull,"August 22, 1897","Maldon, Victoria",NA,Right-hand bat,DNB,NA
4188,Donald George Bradman,27-Aug-08,"Cootamundra, New South Wales",NA,Right-hand bat,Legbreak,NA
5977,Herbert Ironmonger,"April 7, 1882","Pine Mountain, Queensland",NA,Left-hand bat,Left-arm slow-medium,NA
4154,Donald Dearness Blackie,"April 5, 1882","Bendigo, Victoria",NA,Left-hand bat,Right-arm offbreak,NA
6944,Otto Ernest Nothling,1-Aug-00,"Teutoburg, Queensland",NA,Right-hand bat,Right-arm fast-medium,NA
3931,NA,11-Aug-07,"East St Kilda, Melbourne, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
7023,Ronald Keven Oxenham,"July 28, 1891","Nundah, Brisbane, Queensland",NA,Right-hand bat,Right-arm medium,NA
6000,Archibald Jackson,5-Sep-09,"Rutherglen, Lanarkshire, Scotland",NA,Right-hand bat,Right-arm offbreak,NA
5209,Alan Geoffrey Fairfax,16-Jun-06,"Summer Hill, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
5707,Percival Mitchell Hornibrook,"July 27, 1899","Obi Obi, Queensland",NA,Left-hand bat,DNB,NA
8142,Thomas Welbourn Wall,13-May-04,"Semaphore, Adelaide, South Australia",NA,Right-hand bat,Right-arm fast,NA
6540,Stanley Joseph McCabe,16-Jul-10,"Grenfell, New South Wales",NA,Right-hand bat,Right-arm medium,NA
5733,Alexander Hurwood,17-Jun-02,"Kangaroo Point, Brisbane, Queensland",NA,Right-hand bat,DNB,NA
7356,Keith Edward Rigg,21-May-06,"Malvern, Melbourne, Victoria",NA,Right-hand bat,DNB,NA
6931,Homesdale Charles Nitschke,14-Apr-05,"Adelaide, South Australia",NA,Left-hand bat,DNB,NA
6280,Philip Keith Lee,15-Sep-04,"Gladstone, South Australia",NA,Right-hand bat,DNB,NA
5730,William Alfred Hunt,26-Aug-08,"Balmain, Sydney, New South Wales",NA,Left-hand bat,Slow left-arm orthodox,NA
7020,NA,20-Dec-05,"White Cliffs, New South Wales",NA,Left-hand bat,Legbreak googly,NA
7952,Hugh Motley Thurlow,10-Jan-03,"Townsville, Queensland",NA,Right-hand bat,Right-arm fast-medium,NA
5229,John Henry Webb Fingleton,28-Apr-08,"Waverley, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
6915,Laurence John Nash,2-May-10,"Fitzroy, Melbourne, Victoria",NA,Right-hand bat,Right-arm fast,NA
6911,Lisle Ernest Nagel,6-Mar-05,"Bendigo, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
6989,NA,2-Jul-07,"West Melbourne, Victoria",NA,Left-hand bat,Right-arm medium,NA
4210,Ernest Harvey Bromley,2-Sep-12,"Fremantle, Western Australia",NA,Left-hand bat,Slow left-arm orthodox,NA
4899,Leonard Stuart Darling,14-Aug-09,"South Yarra, Melbourne, Victoria",NA,Left-hand bat,Right-arm medium,NA
6319,Hampden Stanley Bray Love,"August 10, 1895","Lilyfield, Sydney, New South Wales",NA,Right-hand bat,DNB,Wicketkeeper
3945,Harry Houston Alexander,9-Jun-05,"Ascot Vale, Victoria",NA,Right-hand bat,Right-arm fast,NA
4225,William Alfred Brown,31-Jul-12,"Toowoomba, Queensland",NA,Right-hand bat,Right-arm offbreak,NA
4570,Arthur Gordon Chipperfield,17-Nov-05,"Ashfield, Sydney, New South Wales",NA,Right-hand bat,Legbreak,NA
5119,Hans Irvine Ebeling,1-Jan-05,"Avoca, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
5327,NA,30-Mar-08,"Stawell, Victoria",NA,Right-hand bat,Slow left-arm chinaman,NA
6546,Ernest Leslie McCormick,16-May-06,"North Carlton, Melbourne, Victoria",NA,Left-hand bat,Right-arm fast,NA
4076,Clayvel Lindsay Badcock,10-Apr-14,"Exton, Tasmania",NA,Right-hand bat,DNB,NA
7377,Rayford Harold Robinson,26-Mar-14,"Stockton, New South Wales",NA,Right-hand bat,Legbreak googly,NA
7614,Morris William Sievers,13-Apr-12,"Powlett River, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
8157,Francis Anthony Ward,23-Feb-06,"Sydney, New South Wales",NA,Right-hand bat,Legbreak googly,NA
5436,Ross Gerald Gregory,28-Feb-16,"Murchison, Victoria",NA,Right-hand bat,Legbreak,NA
4100,Benjamin Arthur Barnett,23-Mar-08,"Auburn, Melbourne, Victoria",NA,Left-hand bat,DNB,Wicketkeeper
5607,Arthur Lindsay Hassett,28-Aug-13,"Geelong, Victoria",NA,Right-hand bat,Right-arm medium,NA
8133,Mervyn George Waite,7-Jan-11,"Kent Town, Adelaide, South Australia",NA,Right-hand bat,DNB,NA
4098,Sidney George Barnes,5-Jun-16,"Annandale, Sydney, New South Wales",NA,Right-hand bat,Legbreak,NA
6100,Ian William Geddes Johnson,8-Dec-17,"North Melbourne, Victoria",NA,Right-hand bat,Right-arm offbreak,NA
6299,Raymond Russell Lindwall,3-Oct-21,"Mascot, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast,NA
6545,Colin Leslie McCool,9-Dec-16,"Paddington, Sydney, New South Wales",NA,Right-hand bat,Legbreak googly,NA
6601,Kenneth Douglas Meuleman,5-Sep-23,"Melbourne, Victoria",NA,Right-hand bat,Legbreak,NA
6612,Keith Ross Miller,28-Nov-19,"Sunshine, Melbourne, Victoria",NA,Right-hand bat,Right-arm fast,NA
7913,Donald Tallon,17-Feb-16,"Bundaberg, Queensland",NA,Right-hand bat,Legbreak,Wicketkeeper
7960,Ernest Raymond Herbert Toshack,8-Dec-14,"Cobar, New South Wales",NA,Right-hand bat,Left-arm medium,NA
6644,Arthur Robert Morris,19-Jan-22,"Bondi, Sydney, New South Wales",NA,Left-hand bat,Slow left-arm chinaman,NA
7968,George Edward Tribe,4-Oct-20,"Yarraville, Melbourne, Victoria",NA,Left-hand bat,Slow left-arm chinaman,NA
5325,Frederick Alfred William Freer,4-Dec-15,"North Carlton, Melbourne, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
4971,Bruce Dooland,1-Nov-23,"Cowandilla, Adelaide, South Australia",NA,Right-hand bat,Legbreak googly,NA
5600,Mervyn Roye Harvey,29-Apr-18,"Broken Hill, New South Wales",NA,Right-hand bat,DNB,NA
5565,Ronald Arthur Hamence,25-Nov-15,"Hindmarsh, Adelaide, South Australia",NA,Right-hand bat,Right-arm medium,NA
6041,William Arras Johnston,26-Feb-22,"Beeac, Victoria",NA,Left-hand bat,DNB,NA
5603,Robert Neil Harvey,8-Oct-28,"Fitzroy, Melbourne, Victoria",NA,Left-hand bat,Right-arm offbreak,NA
6031,Leonard Joseph Johnson,18-Mar-19,"Ipswich, Queensland",NA,Right-hand bat,Right-arm fast-medium,NA
6323,Samuel John Everett Loxton,29-Mar-21,"Albert Park, Melbourne, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
7357,Douglas Thomas Ring,14-Oct-18,"Hobart, Tasmania",NA,Right-hand bat,Legbreak googly,NA
7551,Ronald Arthur Saggers,15-May-17,"Sydenham, Sydney, New South Wales",NA,Right-hand bat,DNB,Wicketkeeper
6639,John Moroney,24-Jul-17,"Macksville, New South Wales",NA,Right-hand bat,DNB,NA
6933,Geffery Noblet,14-Sep-16,"Parkside, Adelaide, South Australia",NA,Right-hand bat,Right-arm fast-medium,NA
5980,John Brian Iverson,27-Jul-15,"Melbourne, Victoria",NA,Right-hand bat,Legbreak googly,NA
3978,Kenneth Alan Archer,17-Jan-28,"Yeerongpilly, Queensland",NA,Right-hand bat,Right-arm offbreak,NA
4242,James Wallace Burke,12-Jun-30,"Mosman, Sydney, New South Wales",NA,Right-hand bat,Right-arm offbreak,NA
5690,Graeme Blake Hole,6-Jan-31,"Concord West, Sydney, New South Wales",Batsman,Right-hand bat,Right-arm offbreak,NA
6258,Gilbert Roche Andrews Langley,14-Sep-19,"North Adelaide, South Australia",NA,Right-hand bat,DNB,Wicketkeeper
4123,Richard Benaud,6-Oct-30,"Penrith, New South Wales",NA,Right-hand bat,Legbreak googly,NA
6554,Colin Campbell McDonald,17-Nov-28,"Glen Iris, Melbourne, Victoria",NA,Right-hand bat,DNB,NA
7949,George Ronald Thoms,22-Mar-27,"Footscray, Melbourne, Victoria",NA,Right-hand bat,DNB,NA
3980,Ronald Graham Archer,25-Oct-33,"Highgate Hill, Brisbane, Queensland",NA,Right-hand bat,Right-arm fast,NA
4652,Ian David Craig,12-Jun-35,"Yass, New South Wales",Batsman,Right-hand bat,DNB,NA
4902,Alan Keith Davidson,14-Jun-29,"Lisarow, Gosford, New South Wales",NA,Left-hand bat,Left-arm fast-medium,NA
5663,John Charles Hill,25-Jun-23,"Murrumbeena, Melbourne, Victoria",NA,Right-hand bat,Legbreak googly,NA
4932,James Harry de Courcy,18-Apr-27,"Newcastle, New South Wales",NA,Right-hand bat,Legbreak,NA
5220,Leslie Ernest Favell,6-Oct-29,"Arncliffe, New South Wales",NA,Right-hand bat,Right-arm medium,NA
6457,Leonard Victor Maddocks,24-May-26,"Beaconsfield, Melbourne, Victoria",NA,Right-hand bat,DNB,Wicketkeeper
4241,Peter John Parnell Burge,17-May-32,"Kangaroo Point, Brisbane, Queensland",Middle-order batsman,Right-hand bat,Right-arm medium,NA
8181,William James Watson,31-Jan-31,"Randwick, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
4656,William Patrick Anthony Crawford,3-Aug-33,"Dubbo, New South Wales",NA,Right-hand bat,Right-arm fast,NA
6445,Kenneth Donald Mackay,24-Oct-25,"Windsor, Queensland",NA,Left-hand bat,Right-arm medium,NA
7411,John Walter Rutherford,25-Sep-29,"Bruce Rock, Western Australia",NA,Right-hand bat,Legbreak,NA
8237,John William Wilson,20-Aug-21,"Albert Park, Melbourne, Victoria",NA,Right-hand bat,Slow left-arm orthodox,NA
5449,Arthur Theodore Wallace Grout,30-Mar-27,"Mackay, Queensland",NA,Right-hand bat,DNB,Wicketkeeper
6159,Lindsay Francis Kline,29-Sep-34,"Camberwell, Melbourne, Victoria",NA,Left-hand bat,Slow left-arm chinaman,NA
6598,Ian Meckiff,6-Jan-35,"Mentone, Victoria",NA,Right-hand bat,Left-arm fast,NA
7619,Robert Baddeley Simpson,3-Feb-36,"Marrickville, Sydney, New South Wales",NA,Right-hand bat,Legbreak googly,NA
5372,Ronald Arthur Gaunt,26-Feb-34,"York, Western Australia",NA,Left-hand bat,Right-arm fast,NA
7015,NA,19-Feb-37,"Carlton, Sydney, New South Wales",NA,Right-hand bat,DNB,NA
7627,Keith Nichol Slater,12-Mar-36,"Midland, Western Australia",NA,Right-hand bat,DNB,NA
7395,Gordon Frederick Rorke,27-Jun-38,"Mosman, Sydney, New South Wales",NA,Left-hand bat,Right-arm fast,NA
7674,Gavin Byron Stevens,29-Feb-32,"Glenelg, Adelaide, South Australia",NA,Right-hand bat,DNB,NA
6013,Barrington Noel Jarman,17-Feb-36,"Hindmarsh, Adelaide, South Australia",NA,Right-hand bat,DNB,Wicketkeeper
6509,John Wesley Martin,28-Jul-31,"Wingham, New South Wales",NA,Left-hand bat,DNB,NA
6625,Francis Michael Misson,19-Nov-38,"Darlinghurst, Sydney, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
5669,Desmond Edward Hoare,19-Oct-34,"Perth, Western Australia",NA,Right-hand bat,DNB,NA
6270,William Morris Lawry,11-Feb-37,"Thornbury, Melbourne, Victoria",NA,Left-hand bat,Left-arm medium,NA
6576,Graham Douglas McKenzie,24-Jun-41,"Cottesloe, Perth, Western Australia",NA,Right-hand bat,Right-arm fast,NA
4171,Brian Charles Booth,19-Oct-33,"Perthville, Bathurst, New South Wales",NA,Right-hand bat,DNB,NA
5450,Colin Ernest John Guest,7-Oct-37,"Melbourne, Victoria",NA,Right-hand bat,Right-arm fast,NA
7604,Barry Kenneth Shepherd,23-Apr-37,"Donnybrook, Western Australia",NA,Left-hand bat,Right-arm offbreak,NA
5611,Neil James Napier Hawke,27-Jun-39,"Cheltenham, Adelaide, South Australia",NA,Right-hand bat,Right-arm medium-fast,NA
4613,Alan Norman Connolly,29-Jun-39,"Skipton, Victoria",NA,Right-hand bat,Right-arm fast-medium,NA
8103,Thomas Robert Veivers,6-Apr-37,"Beenleigh, Queensland",NA,Left-hand bat,Right-arm offbreak,NA
7314,Ian Ritchie Redpath,11-May-41,"Geelong, Victoria",NA,Right-hand bat,Right-arm medium,NA
4628,Grahame Edward Corling,13-Jul-41,"Waratah, New South Wales",NA,Right-hand bat,Right-arm fast-medium,NA
4645,Robert Maskew Cowper,5-Oct-40,"Kew, Melbourne, Victoria",NA,Left-hand bat,Right-arm offbreak,NA
7592,Reginald Hugh Durning Sellers,20-Aug-40,"Bulsar (now Valsad), Gujarat, India",NA,Right-hand bat,Legbreak googly,NA
4560,Ian Michael Chappell,26-Sep-43,"Unley, Adelaide, South Australia",Top-order batsman,Right-hand bat,Legbreak,First slip
7623,David John Sincock,1-Feb-42,"North Adelaide, South Australia",NA,Right-hand bat,Slow left-arm chinaman,NA
6531,Lawrence Charles Mayne,23-Jan-42,"West Perth, Western Australia",NA,Left-hand bat,Right-arm fast-medium,NA
7117,Peter Ian Philpott,21-Nov-34,"Manly, Sydney, New South Wales",Allrounder,Right-hand bat,Legbreak googly,NA
